id,rating,name,would_take_again,level_of_difficulty,department,url,tag0,tag1,tag2,tag3,tag4
6d3d3e50-ba05-11ed-83ce-a4c3f0856cc6,3.3,Richard Franklin ,100%,3,Business Administration Department,https://www.ratemyprofessors.com/professor?tid=782528#ratingsList,Tough grader,Skip class? You won't pass.,Group projects,Gives good feedback,
6d87f1b4-ba05-11ed-98df-a4c3f0856cc6,4.1,Richard Oestreicher ,63%,2.6,History Department,https://www.ratemyprofessors.com/professor?tid=123283#ratingsList,Tough grader,Lecture heavy,Graded by few things,Skip class? You won't pass.,Clear grading criteria
6e3521ee-ba05-11ed-8a38-a4c3f0856cc6,4.7,Richard Scaglion ,N/A,2,Anthropology Department,https://www.ratemyprofessors.com/professor?tid=18594#ratingsList,Inspirational,Caring,Respected,,
6f09cb46-ba05-11ed-b50d-a4c3f0856cc6,3,Richard Sherwin ,N/A,3.3,Science Department,https://www.ratemyprofessors.com/professor?tid=97157#ratingsList,,,,,
6f95e29a-ba05-11ed-b019-a4c3f0856cc6,4.3,Richard Smethurst ,N/A,2.4,History Department,https://www.ratemyprofessors.com/professor?tid=98754#ratingsList,,,,,
6fc0c65e-ba05-11ed-a962-a4c3f0856cc6,3.3,Richard Thompson ,50%,3.7,Communication Department,https://www.ratemyprofessors.com/professor?tid=238553#ratingsList,Test heavy,Tough grader,Skip class? You won't pass.,Gives good feedback,Lots of homework
6ff2d190-ba05-11ed-9b0c-a4c3f0856cc6,4.3,Rick Relyea ,N/A,2.7,Biology Department,https://www.ratemyprofessors.com/professor?tid=266963#ratingsList,,,,,
704e84ae-ba05-11ed-96d7-a4c3f0856cc6,5,Rick Schaub ,87%,1.9,Engineering Department,https://www.ratemyprofessors.com/professor?tid=163115#ratingsList,Respected,Group projects,Caring,Lots of homework,Skip class? You won't pass.
70ad1f4c-ba05-11ed-b589-a4c3f0856cc6,4.9,RJ Bendis ,100%,3,Biological Sciences Department,https://www.ratemyprofessors.com/professor?tid=1729532#ratingsList,Beware of pop quizzes,Lecture heavy,Participation matters,Skip class? You won't pass.,Would take again
714874b0-ba05-11ed-a29d-a4c3f0856cc6,4.8,Rob Ruck ,100%,2.6,History Department,https://www.ratemyprofessors.com/professor?tid=70931#ratingsList,Get ready to read,Amazing lectures ,Respected,So many papers,Skip class? You won't pass.
71c780ee-ba05-11ed-b998-a4c3f0856cc6,3.5,Robert Buerkle ,N/A,2.8,Film Department,https://www.ratemyprofessors.com/professor?tid=1273068#ratingsList,,,,,
7203eda8-ba05-11ed-af60-a4c3f0856cc6,3.1,Robert Daley ,N/A,3.8,Computer Science Department,https://www.ratemyprofessors.com/professor?tid=9345#ratingsList,Would take again,,,,
7296f380-ba05-11ed-ad2a-a4c3f0856cc6,2,Robert Devaty ,10%,5,Physics Department,https://www.ratemyprofessors.com/professor?tid=294515#ratingsList,Tough grader,Lecture heavy,Tests are tough,Lots of homework,Get ready to read
7309682e-ba05-11ed-a3d8-a4c3f0856cc6,4.5,Robert Donnorummo ,N/A,4,Economics Department,https://www.ratemyprofessors.com/professor?tid=835770#ratingsList,,,,,
731db37e-ba05-11ed-b04f-a4c3f0856cc6,5,Robert Dove ,N/A,1,Business Department,https://www.ratemyprofessors.com/professor?tid=1349157#ratingsList,,,,,
73422ba4-ba05-11ed-a9f7-a4c3f0856cc6,4.4,Robert Enick ,60%,2.2,Engineering Department,https://www.ratemyprofessors.com/professor?tid=425097#ratingsList,Hilarious,Would take again,Gives good feedback,Skip class? You won't pass.,Amazing lectures 
